topic,gap
mécanique aéronautique et spatiale,61.400000000000006
direction de chantier du btp,59.89999999999999
conduite d'engins de chantier,56.599999999999994
conduite d'engins agricoles et forestiers,55.5
métallurgie,55.4
maçonnerie,53.8
electricité électronique,53.8
ingénierie et études du btp,52.9
"installation et maintenance en froid, conditionnement d'air",52.7
mécanique générale et de précision,52.300000000000004
fabrication et réparation d'instruments de musique,51.6
réparation de carrosserie,51.599999999999994
soudage manuel,48.9
gestion de portefeuilles sur les marchés financiers,48.800000000000004
bûcheronnage et élagage,48.8
conduite de grue,48.4
maintenance informatique et bureautique,48.0
navigation fluviale,47.8
qualité sécurité environnement et protection santé du btp,47.2
"construction, bâtiment et travaux publics",47.199999999999996
réalisation et montage en tuyauterie,47.0
machinerie spectacle,47.0
boucherie,47.0
information météorologique,46.6
pose de canalisations,45.300000000000004
"assistance informatique, maintenance de logiciels et réseaux",45.0
métré en métallerie,44.900000000000006
production et exploitation de systèmes d'information,44.8
films d'animation et effets spéciaux,44.6
méthodes et gestion de production en chaudronnerie et métallerie,44.1
gardiennage de locaux,43.5
"informatique, traitement de l'information",43.400000000000006
prise de son et sonorisation,43.2
encadrement de la navigation maritime,43.2
arboriculture et viticulture,42.3
chaudronnerie - tôlerie,42.1
management d'établissement de restauration collective,41.8
montage audiovisuel et post-production,41.1
personnel de la défense,40.0
direction de laboratoire d'analyse industrielle,40.0
conseil en gestion de patrimoine financier,39.9
météorologie,39.5
image cinématographique et télévisuelle,39.0
travail du bois et de l'ameublement,38.900000000000006
architecture du btp et du paysage,38.2
recherche agronomique,37.900000000000006
management et ingénierie d'affaires,37.8
construction de décors de spectacle,37.599999999999994
physique,37.4
géologie de l'environnement,37.1
informatique en biologie,36.3
agriculture,36.1
"recherche en sciences de l'univers, de la matière et du vivant",35.099999999999994
courtage en assurances,34.6
réalisation cinématographique et audiovisuelle,34.599999999999994
droit pénal,34.599999999999994
trésorerie et financement,34.300000000000004
analyse de crédits et risques bancaires,34.0
droit de la sécurité et de la défense,33.300000000000004
biochimie de l'eau et de l'environnement,33.3
éclairage spectacle,33.1
"surveillance et protection de la forêt, de la faune sauvage et des espaces naturels",33.099999999999994
techniques de l'imprimerie et de l'édition,32.900000000000006
charcuterie - traiteur,32.8
design industriel,32.599999999999994
relation commerciale en vente de véhicules,32.4
physique-chimie,31.8
magistrature,31.8
géographie de l'aménagement et du développement,31.299999999999997
élevage bovin ou équin,31.1
mathématiques,31.1
management d'hôtel-restaurant,30.3
vente technico-commerciale des produits de la forêt et de la pêche,30.0
développement et protection du patrimoine culturel,30.0
aménagement paysager,28.900000000000002
optique - lunetterie,28.499999999999996
protection du patrimoine naturel,28.0
biologie de l'agronomie et de l'agriculture,27.9
entretien des espaces naturels,27.3
direction de grande entreprise ou d'établissement public,27.000000000000004
reprographie,26.999999999999996
sciences de la terre,26.900000000000002
négociation et vente,26.699999999999996
biologie médicale,26.6
peinture industrielle,26.299999999999997
"recherche en sciences de l'univers,de la matière et du vivant",26.1
gestion de patrimoine culturel,26.099999999999998
sommellerie,25.900000000000002
droit des affaires,25.800000000000004
chimie,25.8
animation musicale et scénique,25.8
direction administrative et financière,25.799999999999997
géographie,25.599999999999998
régie générale,24.2
personnel polyvalent d'hôtellerie,24.2
défense et conseil juridique,23.800000000000004
droit fiscal,23.5
"philosophie, éthique et théologie",23.4
photographie,23.3
musique et chant,23.200000000000003
langues et civilisations anciennes,23.200000000000003
comptabilité,23.2
assistance de direction d'hôtel-restaurant,22.6
économie,22.499999999999996
droit de la santé,22.300000000000004
"langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation",22.099999999999998
philosophie du langage,21.799999999999997
transaction immobilière,21.6
gestion touristique et hôtelière,21.499999999999996
biochimie appliquée aux procédés industriels,21.300000000000004
préparation en pharmacie,21.3
conseil en organisation et management d'entreprise,20.900000000000002
droit de l'environnement,20.9
vente en alimentation,20.700000000000003
sciences des ressources agro-alimentaires,20.6
restauration des oeuvres d'art,20.299999999999997
littérature et philosophie,20.299999999999997
"réalisation d'ouvrages en bijouterie,joaillerie et orfèvrerie",20.000000000000004
fabrication et affinage de fromages,20.000000000000004
philosophie du droit,19.799999999999997
conseil clientèle en assurances,18.8
"chimie-biologie, biochimie",18.8
médecine dentaire,18.499999999999996
service en restauration,18.099999999999998
marketing,18.0
réalisation d'objets artistiques et fonctionnels en verre,17.9
"droit, sciences politiques",17.7
boulangerie - viennoiserie,17.7
"gestion et mise à disposition de ressources documentaires, conservation des archives",17.599999999999998
histoire,17.200000000000003
gérance immobilière,17.0
"comptabilité, gestion",16.9
organisation d'évènementiel,16.799999999999997
linguistique,16.700000000000003
poissonnerie,16.4
personnel de cuisine,16.299999999999997
communication,16.200000000000003
"commerce, vente",15.899999999999999
éducation en activités sportives,15.200000000000003
epistémologie des sciences humaines,14.200000000000003
"réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",14.199999999999996
management des ressources humaines,14.199999999999996
arts appliqués à la communication et à l'audiovisuel,13.799999999999997
cuisine,13.700000000000003
enseignement des écoles,13.399999999999999
médecine généraliste et spécialisée,13.3
journalisme et information média,13.200000000000003
gestion en banque et assurance,13.200000000000003
pharmacie,12.599999999999998
biopharmacologie,12.2
animation touristique et culturelle,11.400000000000002
"ressources humaines, gestion de l'emploi",11.3
journalisme et communication,11.299999999999997
psychologie clinique,9.600000000000001
"langues vivantes, civilisations étrangères et régionales",8.900000000000002
assistance médico-technique,8.900000000000002
conseil en information médicale,8.600000000000001
biochimie des produits alimentaires,8.099999999999998
psychologie,6.700000000000003
fabrication textile,5.9999999999999964
"littérature appliquée à la documentation, communication, lettres et enseignement",4.899999999999999
art dramatique,3.900000000000002
"français, littérature et civilisation française",3.8000000000000007
direction des centres de loisirs ou culturels,3.6999999999999993
costume et habillage spectacle,2.3000000000000007
intervention socioéducative,1.5
animation de loisirs auprès d'enfants ou d'adolescents,1.5
accueil touristique,0.7000000000000028
arts du cirque et arts visuels,0.6999999999999957
sciences sociales,0.0
aide et médiation judiciaire,-0.8000000000000043
"traduction, interprétariat",-1.5
sociologie et travail social,-1.5
psychopédagogie,-1.5
interprétariat et traduction,-2.3000000000000007
orthophonie,-3.700000000000003
linguistique et didactique des langues,-3.8000000000000007
"traduction,interprétariat",-4.800000000000001
éducation de jeunes enfants,-5.399999999999999
"pâtisserie,confiserie,chocolaterie et glacerie",-6.0
psychologie de la santé,-6.100000000000001
arts plastiques,-6.100000000000001
maquillage de scène,-6.200000000000003
création textile,-7.399999999999999
toilettage des animaux,-8.399999999999999
services domestiques,-8.500000000000004
soins infirmiers spécialisés en anesthésie,-9.400000000000002
travail social,-9.699999999999996
stylisme,-10.5
esthétique,-12.400000000000002
"coiffure, esthétique et autres spécialites de services aux personnes",-13.299999999999997
soins infirmiers généralistes,-13.899999999999999
retouches en habillement,-14.2
diététique,-16.0
accompagnement et médiation familiale,-16.2
danse,-18.5
secrétariat comptable,-18.7
"dentellerie, broderie",-20.500000000000004
secrétariat et assistanat médical ou médico-social,-21.1
coiffure,-21.3
aide en puériculture,-22.7
mannequinat et pose artistique,-24.2
soins infirmiers spécialisés en puériculture,-32.9
